Time,episode id,is success,seed,method_combi
03-30-17-07,4,0,6,XAI attention_same IG
03-30-17-12,5,0,6,XAI attention_opposite IG
03-30-17-19,39,1,7,XAI random IG
03-30-18-03,39,1,7,XAI attention_same IG
03-30-18-48,31,0,7,XAI attention_opposite IG
03-30-19-24,22,0,8,XAI random IG
03-30-19-49,31,0,8,XAI attention_same IG
03-30-20-25,32,0,8,XAI attention_opposite IG
03-30-21-02,4,0,9,XAI random IG
03-30-21-08,3,0,9,XAI attention_same IG
03-30-21-13,8,0,9,XAI attention_opposite IG
03-30-21-23,11,0,10,XAI random IG
03-30-21-37,1,0,10,XAI attention_same IG
03-30-21-39,5,0,10,XAI attention_opposite IG
03-30-21-46,3,0,11,XAI random IG
03-30-21-51,7,0,11,XAI attention_same IG
03-30-21-59,39,1,11,XAI attention_opposite IG
03-30-22-43,3,0,12,XAI random IG
03-30-22-47,10,0,12,XAI attention_same IG
03-30-22-59,13,0,12,XAI attention_opposite IG
03-30-23-15,39,1,13,XAI random IG
03-30-23-59,39,1,13,XAI attention_same IG
03-31-00-43,39,1,13,XAI attention_opposite IG
03-31-01-26,2,0,14,XAI random IG
03-31-01-29,11,0,14,XAI attention_same IG
03-31-01-43,4,0,14,XAI attention_opposite IG
03-31-01-48,1,0,15,XAI random IG
03-31-01-50,1,0,15,XAI attention_same IG
03-31-01-52,1,0,15,XAI attention_opposite IG
03-31-01-54,4,0,16,XAI random IG
03-31-03-00,11,0,16,XAI attention_same IG
03-31-03-13,9,0,16,XAI attention_opposite IG
03-31-03-25,2,0,17,XAI random IG
03-31-03-28,3,0,17,XAI attention_same IG
03-31-03-32,8,0,17,XAI attention_opposite IG
03-31-03-42,1,0,18,XAI random IG
03-31-03-45,2,0,18,XAI attention_same IG
03-31-03-49,1,0,18,XAI attention_opposite IG
03-31-03-51,6,0,19,XAI random IG
03-31-03-59,3,0,19,XAI attention_same IG
03-31-04-04,5,0,19,XAI attention_opposite IG
03-31-04-11,16,0,20,XAI random IG
03-31-04-30,35,0,20,XAI attention_same IG
03-31-05-10,19,0,20,XAI attention_opposite IG
03-31-05-32,10,0,21,XAI random IG
03-31-05-45,2,0,21,XAI attention_same IG
03-31-05-48,2,0,21,XAI attention_opposite IG
03-31-05-52,5,0,22,XAI random IG
03-31-05-58,1,0,22,XAI attention_same IG
03-31-06-01,1,0,22,XAI attention_opposite IG
03-31-06-03,0,0,23,XAI random IG
03-31-06-04,10,0,23,XAI attention_same IG
03-31-06-17,6,0,23,XAI attention_opposite IG
03-31-06-24,39,1,24,XAI random IG
03-31-07-11,5,0,24,XAI attention_same IG
03-31-07-18,4,0,24,XAI attention_opposite IG
03-31-07-23,3,0,25,XAI random IG
03-31-07-28,5,0,25,XAI attention_same IG
03-31-07-34,6,0,25,XAI attention_opposite IG
03-31-07-42,11,0,26,XAI random IG
03-31-07-56,9,0,26,XAI attention_same IG
03-31-08-07,7,0,26,XAI attention_opposite IG
03-31-08-16,27,0,27,XAI random IG
03-31-08-46,17,0,27,XAI attention_same IG
03-31-09-06,23,0,27,XAI attention_opposite IG
03-31-09-32,3,0,28,XAI random IG
03-31-09-37,4,0,28,XAI attention_same IG
03-31-09-42,16,0,28,XAI attention_opposite IG
03-31-10-01,4,0,29,XAI random IG
03-31-10-06,16,0,29,XAI attention_same IG
03-31-10-25,36,0,29,XAI attention_opposite IG
03-31-11-07,9,0,30,XAI random IG
03-31-11-19,4,0,30,XAI attention_same IG
03-31-11-25,2,0,30,XAI attention_opposite IG
03-31-11-29,4,0,31,XAI random IG
03-31-11-34,10,0,31,XAI attention_same IG
03-31-11-47,6,0,31,XAI attention_opposite IG
03-31-11-55,4,0,32,XAI random IG
03-31-12-00,2,0,32,XAI attention_same IG
03-31-12-04,1,0,32,XAI attention_opposite IG
03-31-12-06,21,0,33,XAI random IG
03-31-12-32,39,1,33,XAI attention_same IG
03-31-13-20,39,1,33,XAI attention_opposite IG
03-31-14-08,9,0,34,XAI random IG
03-31-14-19,2,0,34,XAI attention_same IG
03-31-14-22,14,0,34,XAI attention_opposite IG
03-31-14-39,1,0,35,XAI random IG
03-31-14-41,1,0,35,XAI attention_same IG
03-31-14-44,1,0,35,XAI attention_opposite IG
03-31-14-47,7,0,36,XAI random IG
03-31-14-56,23,0,36,XAI attention_same IG
03-31-15-22,3,0,36,XAI attention_opposite IG
03-31-15-27,16,0,37,XAI random IG
03-31-15-46,6,0,37,XAI attention_same IG
03-31-15-54,14,0,37,XAI attention_opposite IG
03-31-16-11,16,0,38,XAI random IG
03-31-16-30,11,0,38,XAI attention_same IG
03-31-16-43,10,0,38,XAI attention_opposite IG
03-31-16-56,15,0,39,XAI random IG
03-31-17-13,4,0,39,XAI attention_same IG
03-31-17-19,1,0,39,XAI attention_opposite IG
03-31-17-21,1,0,40,XAI random IG
03-31-17-24,1,0,40,XAI attention_same IG
03-31-17-26,0,0,40,XAI attention_opposite IG
03-31-17-27,1,0,41,XAI random IG
03-31-17-29,35,0,41,XAI attention_same IG
03-31-18-09,39,1,41,XAI attention_opposite IG
03-31-18-54,16,0,42,XAI random IG
03-31-19-13,4,0,42,XAI attention_same IG
03-31-19-19,13,0,42,XAI attention_opposite IG
03-31-19-35,0,0,43,XAI random IG
03-31-19-36,0,0,43,XAI attention_same IG
03-31-19-37,2,0,43,XAI attention_opposite IG
03-31-19-40,4,0,44,XAI random IG
03-31-19-46,13,0,44,XAI attention_same IG
03-31-20-02,13,0,44,XAI attention_opposite IG
03-31-20-17,26,0,45,XAI random IG
03-31-20-48,11,0,45,XAI attention_same IG
03-31-21-01,5,0,45,XAI attention_opposite IG
03-31-21-08,1,0,46,XAI random IG
03-31-21-10,1,0,46,XAI attention_same IG
03-31-21-12,1,0,46,XAI attention_opposite IG
03-31-21-15,10,0,47,XAI random IG
03-31-21-27,11,0,47,XAI attention_same IG
03-31-21-40,3,0,47,XAI attention_opposite IG
03-31-21-45,4,0,48,XAI random IG
03-31-21-50,2,0,48,XAI attention_same IG
03-31-21-54,5,0,48,XAI attention_opposite IG
03-31-22-01,6,0,49,XAI random IG
03-31-22-09,7,0,49,XAI attention_same IG
03-31-22-18,7,0,49,XAI attention_opposite IG
03-31-22-27,1,0,50,XAI random IG
03-31-22-29,0,0,50,XAI attention_same IG
03-31-22-30,1,0,50,XAI attention_opposite IG
03-31-22-32,1,0,51,XAI random IG
03-31-22-34,2,0,51,XAI attention_same IG
03-31-22-38,2,0,51,XAI attention_opposite IG
03-31-22-42,8,0,52,XAI random IG
03-31-22-52,2,0,52,XAI attention_same IG
03-31-22-55,7,0,52,XAI attention_opposite IG
03-31-23-04,12,0,53,XAI random IG
03-31-23-19,15,0,53,XAI attention_same IG
03-31-23-37,2,0,53,XAI attention_opposite IG
03-31-23-40,19,0,54,XAI random IG
04-01-00-02,20,0,54,XAI attention_same IG
04-01-00-25,16,0,54,XAI attention_opposite IG
04-01-00-44,4,0,55,XAI random IG
04-01-00-49,8,0,55,XAI attention_same IG
04-01-01-00,6,0,55,XAI attention_opposite IG
04-01-01-07,4,0,56,XAI random IG
