,Time,episode id,is success,seed,method_combi
710,03-26-19-37,14,0,37,XAI attention_opposite SM
713,03-26-20-20,13,0,38,XAI attention_opposite SM
716,03-26-21-15,4,0,39,XAI attention_opposite SM
722,03-26-22-30,14,0,41,XAI attention_opposite SM
725,03-26-23-01,1,0,42,XAI attention_opposite SM
731,03-26-23-59,11,0,44,XAI attention_opposite SM
734,03-27-18-42,1,0,45,XAI attention_opposite SM
737,03-27-19-45,7,0,46,XAI attention_opposite SM
740,03-27-20-04,11,0,47,XAI attention_opposite SM
743,03-27-20-36,7,0,48,XAI attention_opposite SM
746,03-27-21-03,7,0,49,XAI attention_opposite SM
752,03-27-21-46,2,0,51,XAI attention_opposite SM
755,03-27-22-01,27,0,52,XAI attention_opposite SM
758,03-27-22-41,20,0,53,XAI attention_opposite SM
761,03-27-23-47,8,0,54,XAI attention_opposite SM
764,03-28-00-17,8,0,55,XAI attention_opposite SM
767,03-28-00-41,39,1,56,XAI attention_opposite SM
770,03-28-01-53,2,0,57,XAI attention_opposite SM
773,03-28-02-20,25,0,58,XAI attention_opposite SM
776,03-28-03-06,3,0,59,XAI attention_opposite SM
779,03-28-03-33,9,0,60,XAI attention_opposite SM
2,03-22-19-28,12,0,1,XAI attention_same FSC
6,03-22-20-06,6,0,2,XAI attention_same FSC
10,03-22-20-32,1,0,3,XAI attention_same FSC
14,03-22-20-59,4,0,4,XAI attention_same FSC
18,03-22-21-43,1,0,5,XAI attention_same FSC
22,03-22-22-10,4,0,6,XAI attention_same FSC
26,03-23-00-02,25,0,7,XAI attention_same FSC
30,03-23-01-53,29,0,8,XAI attention_same FSC
34,03-23-03-05,3,0,9,XAI attention_same FSC
38,03-23-03-37,1,0,10,XAI attention_same FSC
42,03-23-04-17,39,1,11,XAI attention_same FSC
46,03-23-05-31,7,0,12,XAI attention_same FSC
50,03-23-07-11,39,1,13,XAI attention_same FSC
54,03-23-09-21,4,0,14,XAI attention_same FSC
58,03-23-09-38,1,0,15,XAI attention_same FSC
62,03-23-09-55,6,0,16,XAI attention_same FSC
66,03-23-11-09,12,0,17,XAI attention_same FSC
70,03-23-11-38,2,0,18,XAI attention_same FSC
78,03-23-12-57,7,0,20,XAI attention_same FSC
82,03-23-13-44,2,0,21,XAI attention_same FSC
86,03-23-14-08,8,0,22,XAI attention_same FSC
94,03-23-15-24,8,0,24,XAI attention_same FSC
98,03-23-16-14,14,0,25,XAI attention_same FSC
102,03-23-17-02,7,0,26,XAI attention_same FSC
106,03-23-18-01,3,0,27,XAI attention_same FSC
110,03-23-18-20,2,0,28,XAI attention_same FSC
114,03-23-18-50,11,0,29,XAI attention_same FSC
118,03-23-19-23,3,0,30,XAI attention_same FSC
122,03-23-20-10,12,0,31,XAI attention_same FSC
126,03-23-20-54,2,0,32,XAI attention_same FSC
130,03-23-21-55,39,1,33,XAI attention_same FSC
134,03-24-00-00,4,0,34,XAI attention_same FSC
138,03-24-00-29,1,0,35,XAI attention_same FSC
142,03-24-01-10,4,0,36,XAI attention_same FSC
146,03-24-02-10,14,0,37,XAI attention_same FSC
150,03-24-03-06,3,0,38,XAI attention_same FSC
154,03-24-03-33,4,0,39,XAI attention_same FSC
162,03-24-04-36,6,0,41,XAI attention_same FSC
166,03-24-05-13,1,0,42,XAI attention_same FSC
174,03-24-05-53,12,0,44,XAI attention_same FSC
178,03-24-07-09,1,0,45,XAI attention_same FSC
182,03-24-07-31,1,0,46,XAI attention_same FSC
186,03-24-08-07,11,0,47,XAI attention_same FSC
190,03-24-08-57,15,0,48,XAI attention_same FSC
194,03-24-10-19,5,0,49,XAI attention_same FSC
202,03-24-11-07,2,0,51,XAI attention_same FSC
206,03-24-11-27,9,0,52,XAI attention_same FSC
210,03-24-12-08,10,0,53,XAI attention_same FSC
214,03-24-13-20,12,0,54,XAI attention_same FSC
218,03-24-14-16,8,0,55,XAI attention_same FSC
222,03-24-15-28,7,0,56,XAI attention_same FSC
226,03-24-16-40,2,0,57,XAI attention_same FSC
230,03-24-17-41,7,0,58,XAI attention_same FSC
234,03-24-18-31,3,0,59,XAI attention_same FSC
238,03-24-19-05,8,0,60,XAI attention_same FSC
241,03-28-09-52,3,0,1,XAI attention_same GC
244,03-28-10-17,6,0,2,XAI attention_same GC
247,03-28-11-16,5,0,3,XAI attention_same GC
250,03-28-11-29,7,0,4,XAI attention_same GC
253,03-28-12-06,8,0,5,XAI attention_same GC
256,03-28-12-27,4,0,6,XAI attention_same GC
259,03-28-12-57,39,1,7,XAI attention_same GC
262,03-28-14-28,5,0,8,XAI attention_same GC
265,03-28-14-45,2,0,9,XAI attention_same GC
268,03-28-14-56,3,0,10,XAI attention_same GC
271,03-28-15-15,39,1,11,XAI attention_same GC
274,03-28-16-47,7,0,12,XAI attention_same GC
277,03-28-17-44,39,1,13,XAI attention_same GC
280,03-28-19-24,4,0,14,XAI attention_same GC
283,03-28-19-42,1,0,15,XAI attention_same GC
286,03-28-20-11,6,0,16,XAI attention_same GC
289,03-28-20-40,13,0,17,XAI attention_same GC
292,03-28-21-09,2,0,18,XAI attention_same GC
298,03-28-21-26,10,0,20,XAI attention_same GC
301,03-28-21-55,2,0,21,XAI attention_same GC
304,03-28-22-14,2,0,22,XAI attention_same GC
310,03-28-22-38,2,0,24,XAI attention_same GC
313,03-28-22-54,6,0,25,XAI attention_same GC
316,03-28-23-25,1,0,26,XAI attention_same GC
319,03-28-23-43,6,0,27,XAI attention_same GC
322,03-29-00-01,8,0,28,XAI attention_same GC
325,03-29-00-21,14,0,29,XAI attention_same GC
328,03-29-00-43,10,0,30,XAI attention_same GC
331,03-29-01-03,4,0,31,XAI attention_same GC
334,03-29-01-23,5,0,32,XAI attention_same GC
337,03-29-02-02,9,0,33,XAI attention_same GC
340,03-29-02-26,4,0,34,XAI attention_same GC
343,03-29-02-44,1,0,35,XAI attention_same GC
346,03-29-02-59,7,0,36,XAI attention_same GC
349,03-29-03-21,14,0,37,XAI attention_same GC
352,03-29-04-03,10,0,38,XAI attention_same GC
355,03-29-04-30,2,0,39,XAI attention_same GC
361,03-29-05-09,6,0,41,XAI attention_same GC
364,03-29-05-24,1,0,42,XAI attention_same GC
370,03-29-06-17,4,0,44,XAI attention_same GC
373,03-29-06-30,9,0,45,XAI attention_same GC
376,03-29-06-52,5,0,46,XAI attention_same GC
379,03-29-07-12,10,0,47,XAI attention_same GC
382,03-29-07-39,10,0,48,XAI attention_same GC
385,03-29-08-16,14,0,49,XAI attention_same GC
391,03-29-09-12,2,0,51,XAI attention_same GC
394,03-29-09-29,7,0,52,XAI attention_same GC
397,03-29-09-57,6,0,53,XAI attention_same GC
400,03-29-10-29,7,0,54,XAI attention_same GC
403,03-29-10-53,9,0,55,XAI attention_same GC
406,03-29-11-17,2,0,56,XAI attention_same GC
409,03-29-11-28,10,0,57,XAI attention_same GC
412,03-29-12-02,11,0,58,XAI attention_same GC
415,03-29-12-38,3,0,59,XAI attention_same GC
418,03-29-12-57,8,0,60,XAI attention_same GC
421,03-30-15-40,10,0,1,XAI attention_same IG
424,03-30-16-02,6,0,2,XAI attention_same IG
427,03-30-16-20,1,0,3,XAI attention_same IG
430,03-30-16-31,7,0,4,XAI attention_same IG
433,03-30-16-47,1,0,5,XAI attention_same IG
436,03-30-17-07,4,0,6,XAI attention_same IG
439,03-30-18-03,39,1,7,XAI attention_same IG
442,03-30-19-49,31,0,8,XAI attention_same IG
445,03-30-21-08,3,0,9,XAI attention_same IG
448,03-30-21-37,1,0,10,XAI attention_same IG
451,03-30-21-51,7,0,11,XAI attention_same IG
454,03-30-22-47,10,0,12,XAI attention_same IG
457,03-30-23-59,39,1,13,XAI attention_same IG
460,03-31-01-29,11,0,14,XAI attention_same IG
463,03-31-01-50,1,0,15,XAI attention_same IG
466,03-31-03-00,11,0,16,XAI attention_same IG
469,03-31-03-28,3,0,17,XAI attention_same IG
472,03-31-03-45,2,0,18,XAI attention_same IG
478,03-31-04-30,35,0,20,XAI attention_same IG
481,03-31-05-45,2,0,21,XAI attention_same IG
484,03-31-05-58,1,0,22,XAI attention_same IG
490,03-31-07-11,5,0,24,XAI attention_same IG
493,03-31-07-28,5,0,25,XAI attention_same IG
496,03-31-07-56,9,0,26,XAI attention_same IG
499,03-31-08-46,17,0,27,XAI attention_same IG
502,03-31-09-37,4,0,28,XAI attention_same IG
505,03-31-10-06,16,0,29,XAI attention_same IG
508,03-31-11-19,4,0,30,XAI attention_same IG
511,03-31-11-34,10,0,31,XAI attention_same IG
514,03-31-12-00,2,0,32,XAI attention_same IG
517,03-31-12-32,39,1,33,XAI attention_same IG
520,03-31-14-19,2,0,34,XAI attention_same IG
523,03-31-14-41,1,0,35,XAI attention_same IG
526,03-31-14-56,23,0,36,XAI attention_same IG
529,03-31-15-46,6,0,37,XAI attention_same IG
532,03-31-16-30,11,0,38,XAI attention_same IG
535,03-31-17-13,4,0,39,XAI attention_same IG
541,03-31-17-29,35,0,41,XAI attention_same IG
544,03-31-19-13,4,0,42,XAI attention_same IG
550,03-31-19-46,13,0,44,XAI attention_same IG
553,03-31-20-48,11,0,45,XAI attention_same IG
556,03-31-21-10,1,0,46,XAI attention_same IG
559,03-31-21-27,11,0,47,XAI attention_same IG
562,03-31-21-50,2,0,48,XAI attention_same IG
565,03-31-22-09,7,0,49,XAI attention_same IG
571,03-31-22-34,2,0,51,XAI attention_same IG
574,03-31-22-52,2,0,52,XAI attention_same IG
577,03-31-23-19,15,0,53,XAI attention_same IG
580,04-01-00-02,20,0,54,XAI attention_same IG
583,04-01-00-49,8,0,55,XAI attention_same IG
586,04-01-01-13,6,0,56,XAI attention_same IG
589,04-01-01-40,10,0,57,XAI attention_same IG
592,04-01-02-29,13,0,58,XAI attention_same IG
595,04-01-03-15,2,0,59,XAI attention_same IG
598,04-01-03-33,11,0,60,XAI attention_same IG
601,03-25-20-03,12,0,1,XAI attention_same SM
604,03-25-20-32,11,0,2,XAI attention_same SM
607,03-25-21-12,7,0,3,XAI attention_same SM
610,03-25-21-35,7,0,4,XAI attention_same SM
613,03-25-21-54,1,0,5,XAI attention_same SM
616,03-25-22-08,4,0,6,XAI attention_same SM
619,03-25-23-06,39,1,7,XAI attention_same SM
622,03-26-01-03,21,0,8,XAI attention_same SM
625,03-26-02-05,3,0,9,XAI attention_same SM
628,03-26-02-17,1,0,10,XAI attention_same SM
631,03-26-02-34,12,0,11,XAI attention_same SM
634,03-26-03-42,1,0,12,XAI attention_same SM
637,03-26-04-36,39,1,13,XAI attention_same SM
640,03-26-06-22,25,0,14,XAI attention_same SM
643,03-26-07-08,1,0,15,XAI attention_same SM
646,03-26-07-29,6,0,16,XAI attention_same SM
649,03-26-07-52,3,0,17,XAI attention_same SM
652,03-26-08-04,1,0,18,XAI attention_same SM
658,03-26-08-47,21,0,20,XAI attention_same SM
661,03-26-09-32,2,0,21,XAI attention_same SM
664,03-26-09-53,7,0,22,XAI attention_same SM
670,03-26-10-42,39,1,24,XAI attention_same SM
673,03-26-11-52,9,0,25,XAI attention_same SM
676,03-26-13-00,14,0,26,XAI attention_same SM
679,03-26-13-42,5,0,27,XAI attention_same SM
682,03-26-14-39,4,0,28,XAI attention_same SM
685,03-26-15-05,2,0,29,XAI attention_same SM
688,03-26-15-44,2,0,30,XAI attention_same SM
691,03-26-16-08,7,0,31,XAI attention_same SM
694,03-26-16-29,2,0,32,XAI attention_same SM
697,03-26-16-59,2,0,33,XAI attention_same SM
700,03-26-17-31,8,0,34,XAI attention_same SM
703,03-26-17-55,1,0,35,XAI attention_same SM
